id	host	tax_id
1	Canis lupus familiaris	9615
2	Felis catus	9685
3	Homo sapiens	9606
4	Macaca fascicularis	9541
5	Macaca mulatta	9544
6	Mesocricetus auratus	10036
7	Mus musculus	10090
8	Mustela putorius furo	9669
9	Panthera tigris jacksoni	419130
10	Chlorocebus sabaeus	60711
11	Crocuta crocuta	9678
12	Gorilla	9592
13	Macaca	9539
14	Neovison vison	452646
15	Odocoileus virginianus	9874
16	Panthera leo	9689
17	Panthera pardus	9691
18	Phodopus roborovskii	109678
19	Severe acute respiratory syndrome coronavirus 2	2697049
