id	instrument_platform	instrument_model
1	BGISEQ	BGISEQ-500
2	CAPILLARY	AB 3500 Genetic Analyzer
3	CAPILLARY	AB 3730xL Genetic Analyzer
4	DNBSEQ	DNBSEQ-G400
5	ILLUMINA	HiSeq X Five
6	ILLUMINA	HiSeq X Ten
7	ILLUMINA	Illumina Genome Analyzer
8	ILLUMINA	Illumina HiSeq 1000
9	ILLUMINA	Illumina HiSeq 1500
10	ILLUMINA	Illumina HiSeq 2000
11	ILLUMINA	Illumina HiSeq 2500
12	ILLUMINA	Illumina HiSeq 3000
13	ILLUMINA	Illumina HiSeq 4000
14	ILLUMINA	Illumina HiSeq X
15	ILLUMINA	Illumina MiSeq
16	ILLUMINA	Illumina MiniSeq
17	ILLUMINA	Illumina NovaSeq 6000
18	ILLUMINA	Illumina iSeq 100
19	ILLUMINA	NextSeq 1000
20	ILLUMINA	NextSeq 2000
21	ILLUMINA	NextSeq 500
22	ILLUMINA	NextSeq 550
23	ILLUMINA	unspecified
24	ION_TORRENT	Ion GeneStudio S5
25	ION_TORRENT	Ion GeneStudio S5 Prime
26	ION_TORRENT	Ion Torrent Genexus
27	ION_TORRENT	Ion Torrent PGM
28	ION_TORRENT	Ion Torrent Proton
29	ION_TORRENT	Ion Torrent S5
30	ION_TORRENT	Ion Torrent S5 XL
31	OXFORD_NANOPORE	GridION
32	OXFORD_NANOPORE	MinION
33	OXFORD_NANOPORE	PromethION
34	PACBIO_SMRT	Sequel
35	PACBIO_SMRT	Sequel II
